Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Netweight (kg),Trade Value (US$),Flag
H4,2013,2013,2013,0,0,1,Import,8,Albania,ALB,0,World,WLD,TOTAL,All Commodities,1,No Quantity,,,4880593254,0
H4,2013,2013,2013,0,0,2,Export,8,Albania,ALB,0,World,WLD,TOTAL,All Commodities,1,No Quantity,,,2331521928,0
H4,2013,2013,2013,0,0,1,Import,12,Algeria,DZA,0,World,WLD,TOTAL,All Commodities,1,No Quantity,,,54909973274,0
H4,2013,2013,2013,0,0,2,Export,12,Algeria,DZA,0,World,WLD,TOTAL,All Commodities,1,No Quantity,,,65998137595,0
H4,2013,2013,2013,0,0,1,Import,31,Azerbaijan,AZE,0,World,WLD,TOTAL,All Commodities,1,No Quantity,,,10763391507,0
H4,2013,2013,2013,0,0,2,Export,31,Azerbaijan,AZE,0,World,WLD,TOTAL,All Commodities,1,No Quantity,,,23904108012,0
H4,2013,2013,2013,0,0,1,Import,32,Argentina,ARG,0,World,WLD,TOTAL,All Commodities,1,No Quantity,,,73655453693,0
H4,2013,2013,2013,0,0,2,Export,32,Argentina,ARG,0,World,WLD,TOTAL,All Commodities,1,No Quantity,,,76633913944,0
H4,2013,2013,2013,0,0,4,Re-Import,32,Argentina,ARG,0,World,WLD,TOTAL,All Commodities,1,No Quantity,,,34209683,0
H4,2013,2013,2013,0,0,1,Import,36,Australia,AUS,0,World,WLD,TOTAL,All Commodities,1,No Quantity,,,232481271344,0
H4,2013,2013,2013,0,0,2,Export,36,Australia,AUS,0,World,WLD,TOTAL,All Commodities,1,No Quantity,,,252155105281,0
H4,2013,2013,2013,0,0,4,Re-Import,36,Australia,AUS,0,World,WLD,TOTAL,All Commodities,1,No Quantity,,,1051153630,0
H4,2013,2013,2013,0,0,1,Import,40,Austria,AUT,0,World,WLD,TOTAL,All Commodities,1,No Quantity,,,173357539421,0
H4,2013,2013,2013,0,0,2,Export,40,Austria,AUT,0,World,WLD,TOTAL,All Commodities,1,No Quantity,,,166271419892,0
H4,2013,2013,2013,0,0,1,Import,44,Bahamas,BHS,0,World,WLD,TOTAL,All Commodities,1,No Quantity,,,3365293982,0
H4,2013,2013,2013,0,0,2,Export,44,Bahamas,BHS,0,World,WLD,TOTAL,All Commodities,1,No Quantity,,,811465065,0
H4,2013,2013,2013,0,0,3,Re-Export,44,Bahamas,BHS,0,World,WLD,TOTAL,All Commodities,1,No Quantity,,,447041211,0
H4,2013,2013,2013,0,0,1,Import,51,Armenia,ARM,0,World,WLD,TOTAL,All Commodities,1,No Quantity,,,4256217854,0
H4,2013,2013,2013,0,0,2,Export,51,Armenia,ARM,0,World,WLD,TOTAL,All Commodities,1,No Quantity,,,1467799672,0
H4,2013,2013,2013,0,0,3,Re-Export,51,Armenia,ARM,0,World,WLD,TOTAL,All Commodities,1,No Quantity,,,108755768,0
H4,2013,2013,2013,0,0,4,Re-Import,51,Armenia,ARM,0,World,WLD,TOTAL,All Commodities,1,No Quantity,,,11678942,0
H4,2013,2013,2013,0,0,1,Import,56,Belgium,BEL,0,World,WLD,TOTAL,All Commodities,1,No Quantity,,,488442091068,0
H4,2013,2013,2013,0,0,2,Export,56,Belgium,BEL,0,World,WLD,TOTAL,All Commodities,1,No Quantity,,,511492494594,0
H4,2013,2013,2013,0,0,1,Import,60,Bermuda,BMU,0,World,WLD,TOTAL,All Commodities,1,No Quantity,,,994572258,0
H4,2013,2013,2013,0,0,2,Export,60,Bermuda,BMU,0,World,WLD,TOTAL,All Commodities,1,No Quantity,,,21705082,0
H4,2013,2013,2013,0,0,1,Import,68,Bolivia (Plurinational State of),BOL,0,World,WLD,TOTAL,All Commodities,1,No Quantity,,,10388265013,0
H4,2013,2013,2013,0,0,2,Export,68,Bolivia (Plurinational State of),BOL,0,World,WLD,TOTAL,All Commodities,1,No Quantity,,,12207463338,0
H4,2013,2013,2013,0,0,4,Re-Import,68,Bolivia (Plurinational State of),BOL,0,World,WLD,TOTAL,All Commodities,1,No Quantity,,,3245866,0
H4,2013,2013,2013,0,0,1,Import,70,Bosnia Herzegovina,BIH,0,World,WLD,TOTAL,All Commodities,1,No Quantity,,,10294929805,0
H4,2013,2013,2013,0,0,2,Export,70,Bosnia Herzegovina,BIH,0,World,WLD,TOTAL,All Commodities,1,No Quantity,,,5687313826,0
H4,2013,2013,2013,0,0,1,Import,76,Brazil,BRA,0,World,WLD,TOTAL,All Commodities,1,No Quantity,,,239620904905,0
H4,2013,2013,2013,0,0,2,Export,76,Brazil,BRA,0,World,WLD,TOTAL,All Commodities,1,No Quantity,,,242178053784,0
H4,2013,2013,2013,0,0,1,Import,96,Brunei Darussalam,BRN,0,World,WLD,TOTAL,All Commodities,1,No Quantity,,,3612434588,0
H4,2013,2013,2013,0,0,2,Export,96,Brunei Darussalam,BRN,0,World,WLD,TOTAL,All Commodities,1,No Quantity,,,11447186703,0
H4,2013,2013,2013,0,0,1,Import,100,Bulgaria,BGR,0,World,WLD,TOTAL,All Commodities,1,No Quantity,,,34306833925,0
H4,2013,2013,2013,0,0,2,Export,100,Bulgaria,BGR,0,World,WLD,TOTAL,All Commodities,1,No Quantity,,,29512256336,0
H4,2013,2013,2013,0,0,1,Import,112,Belarus,BLR,0,World,WLD,TOTAL,All Commodities,1,No Quantity,,,43022675000,0
H4,2013,2013,2013,0,0,2,Export,112,Belarus,BLR,0,World,WLD,TOTAL,All Commodities,1,No Quantity,,,37203035300,0
H4,2013,2013,2013,0,0,1,Import,116,Cambodia,KHM,0,World,WLD,TOTAL,All Commodities,1,No Quantity,,,9227429724,0
H4,2013,2013,2013,0,0,2,Export,116,Cambodia,KHM,0,World,WLD,TOTAL,All Commodities,1,No Quantity,,,9248134454,0
H4,2013,2013,2013,0,0,1,Import,124,Canada,CAN,0,World,WLD,TOTAL,All Commodities,1,No Quantity,,,461799508840,0
H4,2013,2013,2013,0,0,2,Export,124,Canada,CAN,0,World,WLD,TOTAL,All Commodities,1,No Quantity,,,456395278173,0
H4,2013,2013,2013,0,0,4,Re-Import,124,Canada,CAN,0,World,WLD,TOTAL,All Commodities,1,No Quantity,,,3332477431,0
H4,2013,2013,2013,0,0,1,Import,132,Cabo Verde,CPV,0,World,WLD,TOTAL,All Commodities,1,No Quantity,,,726366551,0
H4,2013,2013,2013,0,0,2,Export,132,Cabo Verde,CPV,0,World,WLD,TOTAL,All Commodities,1,No Quantity,,,69228089,0
H4,2013,2013,2013,0,0,1,Import,144,Sri Lanka,LKA,0,World,WLD,TOTAL,All Commodities,1,No Quantity,,,17930809142,0
H4,2013,2013,2013,0,0,2,Export,144,Sri Lanka,LKA,0,World,WLD,TOTAL,All Commodities,1,No Quantity,,,10004878922,0
H4,2013,2013,2013,0,0,4,Re-Import,144,Sri Lanka,LKA,0,World,WLD,TOTAL,All Commodities,1,No Quantity,,,51512718,0
H4,2013,2013,2013,0,0,1,Import,152,Chile,CHL,0,World,WLD,TOTAL,All Commodities,1,No Quantity,,,79616352757,0
H4,2013,2013,2013,0,0,2,Export,152,Chile,CHL,0,World,WLD,TOTAL,All Commodities,1,No Quantity,,,77367262820,0
H4,2013,2013,2013,0,0,4,Re-Import,152,Chile,CHL,0,World,WLD,TOTAL,All Commodities,1,No Quantity,,,9251623,0
H4,2013,2013,2013,0,0,1,Import,156,China,CHN,0,World,WLD,TOTAL,All Commodities,1,No Quantity,,,1949992314705,0
H4,2013,2013,2013,0,0,2,Export,156,China,CHN,0,World,WLD,TOTAL,All Commodities,1,No Quantity,,,2209007280259,0
